Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes
Phantom Thread,2017,91,113.203,Paul Thomas Anderson,"Daniel Day-Lewis, Vicky Krieps, Lesley Manville, Camilla Rutherford",Renowned dressmaker Reynolds Woodcock and his sister Cyril are at the center of British fashion in 1950s London -- dressing...,47812199.0,Drama,7.4,90.0,130.0,128812.0
Mindhorn,2016,92,93.935,Sean Foley,"Julian Barratt, Essie Davis, Andrea Riseborough, Harriet Walter","A has-been actor, known for playing British detective Mindhorn, works alongside the police to catch a serial killer who will...",816452.0,Thriller,6.3,70.0,89.0,12617.0
Into the Inferno,2016,92,93.935,Werner Herzog,"Werner Herzog, Clive Oppenheimer, Katia Krafft, Maurice Krafft","Werner Herzog and volcanologist Clive Oppenheimer travel the globe and visit volcanoes in Indonesia, Ethiopia and even North Korea in...",,,,,,
Icarus,2017,92,95.015,Bryan Fogel,"Dan Cogan, Bryan Fogel, Richard Pound, Dave Zabriskie","When filmmaker Bryan Fogel sets out to uncover the truth about doping in sports, a chance meeting with a Russian...",,,,,,
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,92,95.096,Chris Smith,"Jim Carrey, Danny DeVito, Milos Forman, Peter Bonerz","Using 100 hours of footage from the set of ""Man on the Moon,"" filmmaker Chris Smith documents Jim Carrey's transformation...",,,,,,
Set It Up,2018,92,93.9,Claire Scanlon,"Zoey Deutch, Glen Powell, Lucy Liu, Taye Diggs",Two overworked and underpaid assistants come up with a plan to get their bosses off their backs by setting them...,,Comedy,6.5,62.0,105.0,50724.0
We Steal Secrets: The Story of WikiLeaks,2013,92,93.85,Alex Gibney,"Julian Assange, Chelsea Manning, Robert Manne, Michael Hayden","Filmmaker Alex Gibney examines the case of Julian Assange and WikiLeaks, and how their actions have changed the way democratic...",,,,,,
We the Animals,2018,92,97.499,Jeremiah Zagar,"Raul Castillo, Sheila Vand, Evan Rosado, Isaiah Kristian","Manny, Joel, and Jonah tear their way through childhood. Their mother and father have a volatile relationship that makes and...",,,,,,
Beasts of No Nation,2015,92,101.803,Cary Joji Fukunaga,"Idris Elba, Abraham Attah, Opeyemi Fagbohungbe, Kurt Egyiawan","As civil war rages in Africa, a fierce warlord (Idris Elba) trains a young orphan (Abraham Attah) to join his...",90777.0,Drama,7.7,79.0,137.0,80228.0
Silver Linings Playbook,2012,92,102.814,David O. Russell,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver","After losing his job and wife, and spending time in a mental institution, Pat Solatano (Bradley Cooper) winds up living...",236412453.0,Comedy,7.7,81.0,122.0,698606.0
Da 5 Bloods,2020,92,113.343,Spike Lee,"Delroy Lindo, Jonathan Majors, Clarke Peters, Norm Lewis",Four African American vets battle the forces of man and nature when they return to Vietnam seeking the remains of...,,Drama,6.5,82.0,154.0,50328.0
Uncut Gems,2019,92,112.693,Benny Safdie,"Adam Sandler, LaKeith Stanfield, Julia Fox, Kevin Garnett",A charismatic jeweler makes a high-stakes bet that could lead to the windfall of a lifetime. In a precarious high-wire...,50023780.0,Drama,7.4,91.0,135.0,266492.0
